iter	Passed	Remaining
0	156	156236
1	158	79276
2	161	53688
3	164	40857
4	166	33052
5	168	27905
6	170	24214
7	172	21428
8	174	19252
9	177	17523
10	179	16100
11	181	14962
12	184	13972
13	186	13101
14	188	12372
15	190	11737
16	193	11162
17	195	10647
18	197	10198
19	199	9759
20	200	9359
21	202	9009
22	204	8668
23	205	8371
24	207	8078
25	209	7853
26	211	7630
27	213	7427
28	215	7221
29	217	7035
30	219	6861
31	221	6705
32	223	6563
33	226	6437
34	228	6306
35	229	6157
36	232	6043
37	234	5928
38	235	5808
39	237	5710
40	240	5620
41	241	5514
42	243	5426
43	245	5344
44	248	5268
45	250	5191
46	252	5117
47	254	5045
48	256	4975
49	258	4906
50	260	4839
51	261	4775
52	263	4714
53	265	4658
54	268	4606
55	269	4543
56	271	4488
57	273	4436
58	274	4385
59	276	4328
60	278	4280
61	279	4234
62	282	4197
63	284	4155
64	285	4112
65	288	4078
66	289	4037
67	292	4003
68	294	3967
69	296	3933
70	298	3900
71	299	3864
72	301	3830
73	303	3796
74	305	3764
75	307	3734
76	309	3708
77	311	3678
78	313	3649
79	314	3621
80	316	3592
81	318	3563
82	319	3535
83	321	3509
84	323	3484
85	325	3461
86	327	3433
87	327	3398
88	329	3372
89	331	3347
90	332	3326
91	334	3302
92	336	3280
93	337	3256
94	339	3230
95	340	3210
96	342	3189
97	344	3173
98	346	3154
99	348	3134
100	349	3114
101	351	3096
102	353	3075
103	354	3057
104	356	3038
105	357	3015
106	358	2995
107	361	2981
108	361	2958
109	363	2942
110	365	2925
111	366	2908
112	368	2894
113	370	2879
114	371	2860
115	373	2844
116	374	2827
117	375	2809
118	377	2794
119	379	2779
120	380	2765
121	382	2750
122	383	2734
123	384	2718
124	386	2702
125	387	2691
126	389	2676
127	390	2663
128	392	2648
129	393	2631
130	394	2617
131	395	2601
132	397	2591
133	398	2577
134	400	2563
135	401	2551
136	403	2541
137	405	2533
138	406	2519
139	408	2506
140	408	2491
141	410	2477
142	411	2463
143	412	2449
144	413	2436
145	414	2422
146	415	2409
147	416	2399
148	418	2390
149	419	2378
150	420	2366
151	422	2354
152	422	2341
153	423	2328
154	424	2316
155	425	2304
156	426	2292
157	428	2281
158	429	2270
159	431	2263
160	432	2254
161	433	2243
162	434	2232
163	435	2220
164	436	2209
165	437	2198
166	438	2187
167	439	2178
168	440	2168
169	442	2159
170	443	2151
171	445	2144
172	447	2138
173	448	2128
174	449	2118
175	450	2109
176	451	2099
177	452	2090
178	453	2081
179	455	2073
180	456	2064
181	457	2055
182	458	2046
183	459	2038
184	460	2029
185	461	2021
186	462	2011
187	463	2003
188	465	1995
189	465	1986
190	467	1978
191	468	1969
192	469	1961
193	470	1953
194	471	1946
195	473	1940
196	474	1934
197	475	1926
198	477	1920
199	478	1913
200	480	1909
201	481	1901
202	482	1894
203	483	1887
204	484	1880
205	486	1874
206	487	1867
207	488	1860
208	489	1852
209	490	1845
210	491	1838
211	492	1831
212	493	1823
213	494	1816
214	495	1810
215	496	1803
216	498	1797
217	499	1790
218	500	1784
219	501	1778
220	502	1772
221	503	1765
222	504	1759
223	506	1753
224	507	1746
225	508	1740
226	509	1734
227	510	1728
228	511	1722
229	513	1717
230	514	1712
231	515	1706
232	516	1700
233	517	1694
234	518	1688
235	519	1683
236	520	1676
237	521	1671
238	523	1665
239	524	1659
240	525	1653
241	526	1647
242	527	1643
243	528	1638
244	529	1632
245	531	1629
246	532	1623
247	533	1618
248	534	1613
249	535	1607
250	537	1604
251	538	1599
252	539	1594
253	541	1589
254	542	1584
255	543	1578
256	545	1576
257	546	1571
258	547	1566
259	548	1561
260	549	1556
261	550	1551
262	551	1546
263	552	1541
264	554	1536
265	555	1532
266	556	1527
267	557	1522
268	558	1518
269	559	1513
270	560	1508
271	561	1503
272	562	1498
273	563	1494
274	564	1489
275	566	1485
276	567	1480
277	568	1476
278	570	1473
279	571	1469
280	572	1465
281	573	1460
282	574	1456
283	576	1452
284	577	1448
285	578	1444
286	579	1440
287	580	1435
288	582	1432
289	583	1428
290	584	1424
291	585	1420
292	587	1416
293	588	1412
294	589	1409
295	590	1404
296	591	1400
297	592	1396
298	594	1392
299	595	1390
300	597	1386
301	598	1382
302	599	1378
303	600	1374
304	601	1370
305	602	1366
306	603	1362
307	604	1358
308	605	1354
309	606	1350
310	608	1348
311	609	1344
312	610	1340
313	611	1336
314	612	1332
315	614	1329
316	615	1325
317	616	1321
318	617	1318
319	618	1314
320	619	1310
321	620	1306
322	621	1302
323	622	1298
324	623	1295
325	624	1291
326	625	1287
327	626	1284
328	627	1280
329	628	1276
330	629	1273
331	631	1269
332	632	1266
333	633	1262
334	634	1259
335	635	1255
336	636	1252
337	637	1248
338	638	1245
339	639	1242
340	641	1239
341	642	1235
342	643	1232
343	644	1228
344	645	1225
345	646	1222
346	647	1218
347	648	1215
348	649	1212
349	650	1208
350	651	1205
351	652	1202
352	654	1199
353	655	1195
354	656	1192
355	657	1189
356	658	1185
357	659	1183
358	660	1179
359	661	1176
360	662	1173
361	663	1170
362	664	1166
363	665	1163
364	667	1160
365	668	1157
366	669	1154
367	670	1151
368	671	1148
369	672	1145
370	673	1142
371	674	1139
372	675	1136
373	676	1132
374	677	1129
375	679	1127
376	680	1124
377	681	1121
378	682	1118
379	683	1115
380	684	1112
381	685	1109
382	687	1107
383	688	1104
384	689	1101
385	690	1098
386	692	1096
387	693	1093
388	694	1090
389	695	1087
390	696	1084
391	697	1082
392	698	1079
393	700	1076
394	701	1073
395	702	1071
396	703	1068
397	704	1065
398	705	1062
399	706	1059
400	707	1057
401	708	1053
402	709	1051
403	710	1048
404	711	1045
405	712	1042
406	713	1039
407	714	1036
408	714	1032
409	715	1029
410	716	1026
411	717	1024
412	718	1021
413	719	1018
414	720	1015
415	721	1012
416	722	1009
417	723	1006
418	724	1004
419	725	1001
420	726	998
421	727	995
422	728	993
423	728	990
424	729	987
425	731	985
426	732	982
427	732	979
428	733	976
429	734	973
430	735	970
431	736	968
432	737	966
433	738	963
434	739	960
435	740	958
436	741	955
437	742	952
438	743	950
439	744	948
440	745	945
441	747	943
442	748	941
443	749	938
444	750	936
445	751	933
446	752	931
447	754	929
448	755	926
449	756	924
450	757	922
451	758	919
452	759	917
453	760	914
454	761	911
455	762	909
456	763	906
457	763	904
458	764	901
459	765	898
460	766	896
461	767	893
462	768	891
463	769	888
464	770	886
465	771	883
466	772	881
467	773	879
468	774	876
469	775	874
470	776	872
471	778	870
472	779	868
473	780	866
474	781	864
475	783	862
476	784	860
477	785	857
478	786	855
479	787	853
480	788	851
481	789	848
482	790	846
483	791	844
484	792	841
485	793	839
486	795	837
487	796	835
488	798	834
489	799	832
490	800	830
491	802	828
492	803	826
493	804	824
494	806	822
495	807	820
496	808	818
497	809	816
498	810	814
499	811	811
500	812	809
501	813	807
502	814	805
503	815	803
504	816	800
505	818	798
506	818	796
507	819	794
508	821	791
509	822	790
510	823	787
511	824	785
512	825	783
513	826	781
514	827	779
515	828	776
516	829	774
517	830	772
518	831	770
519	832	768
520	833	765
521	834	763
522	835	761
523	836	759
524	837	757
525	837	755
526	839	753
527	839	750
528	841	748
529	841	746
530	843	744
531	844	742
532	845	740
533	846	738
534	847	736
535	848	734
536	849	732
537	850	730
538	851	727
539	851	725
540	852	723
541	854	721
542	854	719
543	856	717
544	857	715
545	857	713
546	858	711
547	859	708
548	861	707
549	862	705
550	863	703
551	864	701
552	865	699
553	866	697
554	867	695
555	868	693
556	869	691
557	870	689
558	871	687
559	872	685
560	873	683
561	874	681
562	874	679
563	875	677
564	876	675
565	877	673
566	878	671
567	880	669
568	881	667
569	882	665
570	883	663
571	884	661
572	885	659
573	886	657
574	887	656
575	888	654
576	889	652
577	890	650
578	891	648
579	892	646
580	893	644
581	894	642
582	895	640
583	896	638
584	897	636
585	898	634
586	899	632
587	900	631
588	901	629
589	902	627
590	903	625
591	904	623
592	905	621
593	906	619
594	907	617
595	908	616
596	909	614
597	910	612
598	911	610
599	912	608
600	913	606
601	914	604
602	915	602
603	916	600
604	917	599
605	918	597
606	919	595
607	920	593
608	921	591
609	922	589
610	923	587
611	924	585
612	925	584
613	926	582
614	927	580
615	928	578
616	928	576
617	929	574
618	930	572
619	931	571
620	932	569
621	933	567
622	934	565
623	935	563
624	936	561
625	938	560
626	939	558
627	940	556
628	940	554
629	941	553
630	942	551
631	943	549
632	944	547
633	945	546
634	946	544
635	947	542
636	948	540
637	950	539
638	951	537
639	952	535
640	953	533
641	954	532
642	955	530
643	956	528
644	957	526
645	958	525
646	959	523
647	960	521
648	961	520
649	962	518
650	964	516
651	964	515
652	965	513
653	966	511
654	967	509
655	968	507
656	970	506
657	971	504
658	972	503
659	973	501
660	974	499
661	975	498
662	976	496
663	977	494
664	978	493
665	979	491
666	980	489
667	981	487
668	982	486
669	983	484
670	984	482
671	985	481
672	986	479
673	987	477
674	988	475
675	989	474
676	990	472
677	991	470
678	991	468
679	992	467
680	993	465
681	994	463
682	995	462
683	996	460
684	997	458
685	998	456
686	999	455
687	999	453
688	1000	451
689	1001	450
690	1002	448
691	1003	446
692	1004	445
693	1005	443
694	1006	441
695	1007	439
696	1008	438
697	1009	436
698	1010	434
699	1011	433
700	1011	431
701	1012	429
702	1013	428
703	1014	426
704	1015	424
705	1016	423
706	1017	421
707	1018	420
708	1019	418
709	1020	416
710	1021	415
711	1022	413
712	1023	411
713	1024	410
714	1025	408
715	1026	407
716	1027	405
717	1028	403
718	1029	402
719	1030	400
720	1030	398
721	1031	397
722	1032	395
723	1033	394
724	1034	392
725	1035	390
726	1036	389
727	1037	387
728	1038	385
729	1039	384
730	1040	382
731	1041	381
732	1041	379
733	1042	377
734	1043	376
735	1044	374
736	1045	373
737	1046	371
738	1047	369
739	1048	368
740	1049	366
741	1050	365
742	1051	363
743	1051	361
744	1052	360
745	1053	358
746	1054	357
747	1055	355
748	1057	354
749	1058	352
750	1058	351
751	1059	349
752	1060	347
753	1061	346
754	1062	344
755	1063	343
756	1064	341
757	1065	340
758	1066	338
759	1068	337
760	1069	335
761	1070	334
762	1071	332
763	1072	331
764	1073	329
765	1074	328
766	1075	326
767	1076	325
768	1077	323
769	1077	321
770	1078	320
771	1079	318
772	1080	317
773	1081	315
774	1082	314
775	1083	312
776	1084	311
777	1085	309
778	1086	308
779	1087	306
780	1088	305
781	1089	303
782	1090	302
783	1091	300
784	1092	299
785	1093	297
786	1094	296
787	1095	294
788	1096	293
789	1097	291
790	1098	290
791	1099	288
792	1100	287
793	1101	285
794	1102	284
795	1103	282
796	1104	281
797	1105	279
798	1106	278
799	1107	276
800	1107	275
801	1108	273
802	1109	272
803	1110	270
804	1111	269
805	1112	267
806	1113	266
807	1114	264
808	1115	263
809	1116	261
810	1117	260
811	1118	258
812	1119	257
813	1120	256
814	1121	254
815	1122	253
816	1123	251
817	1124	250
818	1124	248
819	1125	247
820	1126	245
821	1127	244
822	1128	242
823	1129	241
824	1130	239
825	1131	238
826	1132	236
827	1133	235
828	1134	234
829	1135	232
830	1136	231
831	1137	229
832	1138	228
833	1139	226
834	1140	225
835	1141	223
836	1142	222
837	1143	221
838	1144	219
839	1145	218
840	1146	216
841	1147	215
842	1148	213
843	1149	212
844	1150	210
845	1151	209
846	1152	208
847	1153	206
848	1154	205
849	1155	203
850	1155	202
851	1156	200
852	1157	199
853	1158	198
854	1159	196
855	1160	195
856	1161	193
857	1162	192
858	1163	191
859	1164	189
860	1165	188
861	1166	186
862	1167	185
863	1168	183
864	1169	182
865	1170	181
866	1171	179
867	1172	178
868	1173	176
869	1174	175
870	1175	174
871	1176	172
872	1177	171
873	1177	169
874	1178	168
875	1179	166
876	1180	165
877	1181	164
878	1182	162
879	1183	161
880	1184	159
881	1185	158
882	1186	157
883	1187	155
884	1188	154
885	1189	153
886	1190	151
887	1191	150
888	1192	148
889	1193	147
890	1194	146
891	1195	144
892	1196	143
893	1197	141
894	1198	140
895	1199	139
896	1200	137
897	1201	136
898	1202	135
899	1203	133
900	1204	132
901	1205	131
902	1206	129
903	1207	128
904	1208	126
905	1209	125
906	1210	124
907	1211	122
908	1212	121
909	1213	119
910	1214	118
911	1214	117
912	1215	115
913	1216	114
914	1217	113
915	1218	111
916	1219	110
917	1220	109
918	1221	107
919	1222	106
920	1223	104
921	1224	103
922	1225	102
923	1226	100
924	1226	99
925	1227	98
926	1228	96
927	1229	95
928	1230	94
929	1231	92
930	1232	91
931	1233	89
932	1234	88
933	1235	87
934	1236	85
935	1237	84
936	1238	83
937	1239	81
938	1240	80
939	1240	79
940	1241	77
941	1243	76
942	1243	75
943	1244	73
944	1245	72
945	1246	71
946	1247	69
947	1248	68
948	1249	67
949	1250	65
950	1251	64
951	1252	63
952	1252	61
953	1253	60
954	1254	59
955	1255	57
956	1256	56
957	1257	55
958	1258	53
959	1259	52
960	1260	51
961	1261	49
962	1262	48
963	1263	47
964	1264	45
965	1265	44
966	1266	43
967	1267	41
968	1268	40
969	1269	39
970	1270	37
971	1271	36
972	1272	35
973	1273	33
974	1274	32
975	1275	31
976	1276	30
977	1277	28
978	1278	27
979	1279	26
980	1280	24
981	1281	23
982	1282	22
983	1283	20
984	1284	19
985	1285	18
986	1286	16
987	1287	15
988	1288	14
989	1289	13
990	1290	11
991	1292	10
992	1294	9
993	1294	7
994	1295	6
995	1296	5
996	1297	3
997	1298	2
998	1299	1
999	1300	0
